jobTitle,department,earnings,year,serviceArea,hourlyWage,status
mechanic,operation services,66927.55,2016,community and operation services,32.18,full time
water supply controller,ut water production div,66832.79,2016,utility services,32.13,full time
city planner,comm dev & neighborhood svcs,66801.11,2016,planning development & transportation,32.12,full time
city planner,comm dev & neighborhood svcs,66796.09,2016,planning development & transportation,32.11,full time
community service officer,patrol,66731,2016,police services,32.08,full time
pc support specialist,information technology,66679.34,2016,information and employee services,32.06,full time
gis programmer/analyst,information technology,66638.13,2016,information and employee services,32.04,full time
chemist,ut water production div,66627.15,2016,utility services,32.03,full time
civil engineer i,engineering,66510,2016,planning development & transportation,31.98,full time
systems analyst,information technology,66424.86,2016,information and employee services,31.94,full time
crew chief,parks,66288.4,2016,community and operation services,31.87,full time
material control supervisor,ut standards engineering div,66215.9,2016,planning development & transportation,31.83,full time
web programmer analyst,information technology,66128.09,2016,information and employee services,31.79,full time
credit/collections rep,utilities customer connections,65898.46,2016,utility services,31.68,full time
real estate specialist iii,operation services,65749.21,2016,community and operation services,31.61,full time
benefits analyst,human resources,65434.15,2016,information and employee services,31.46,full time
utilities education supervisor,utilities customer connections,65416.1,2016,utility services,31.45,full time
bldg control system maint spec,operation services,65398.85,2016,community and operation services,31.44,full time
police officer,patrol,65387.54,2016,police services,31.44,full time
restorative justice prog coord,comm dev & neighborhood svcs,65331.08,2016,planning development & transportation,31.41,full time
crime analyst,patrol,65296.19,2016,police services,31.39,full time
equipment operator specialist,streets,65272.54,2016,planning development & transportation,31.38,full time
environmental planner,environmental services,65263.22,2016,sustainability services,31.38,full time
plant operator,ut water production div,65116.21,2016,utility services,31.31,full time
civil engineer i,engineering,65076.1,2016,planning development & transportation,31.29,full time
construction inspector,engineering,65059.04,2016,planning development & transportation,31.28,full time
electric meter tech,ut standards engineering div,65053.69,2016,planning development & transportation,31.28,full time
crew chief,parks,64931.4,2016,community and operation services,31.22,full time
recreation area manager,recreation,64802.4,2016,community and operation services,31.16,full time
recreation area manager,recreation,64779.9,2016,community and operation services,31.14,full time
electric lineworker,electric field services,64770.19,2016,utility services,31.14,full time
mechanic,operation services,64732.22,2016,community and operation services,31.12,full time
hris analyst,human resources,64708.68,2016,information and employee services,31.11,full time
crew chief,parks,64292.28,2016,community and operation services,30.91,full time
compliance supervisor,comm dev & neighborhood svcs,64270.17,2016,planning development & transportation,30.9,full time
redevelopment coordinator,economic health office,64185,2016,sustainability services,30.86,full time
asst superintendent-golf,parks,64026.82,2016,community and operation services,30.78,full time
legal exec admin asst,city attorney's office,63698.1,2016,city attorney,30.62,full time
plant operator,ut water production div,63638.24,2016,utility services,30.6,full time
victim advocate,investigations,63574.7,2016,police services,30.56,full time
executive asst to the city mgr,city manager's office,63456.75,2016,city manager,30.51,full time
sr financial analyst,finance administration,63403,2016,financial services,30.48,full time
financial coordinator,streets,63373.42,2016,planning development & transportation,30.47,full time
maintenance specialist,ut water production div,63346.86,2016,utility services,30.46,full time
survey party chief-inactive,engineering,63284.64,2016,planning development & transportation,30.43,full time
facilities lead locator,electric field services,63145.8,2016,utility services,30.36,full time
occupational health prof,"safety, security, & risk mgmt.",62926.97,2016,financial services,30.25,full time
sr communications & mktg spec,utilities customer connections,62776.27,2016,utility services,30.18,full time
police officer,patrol,62649.74,2016,police services,30.12,full time
pc hardwr/softwre specialist,information technology,62460.33,2016,information and employee services,30.03,full time
facilities locate supervisor,electric field services,62447.71,2016,utility services,30.02,full time
grants development specialist,city manager's office,62415.26,2016,city manager,30.01,full time
recreation supv - inactive,recreation,62380.15,2016,community and operation services,29.99,full time
recreation supv - inactive,recreation,62380.15,2016,community and operation services,29.99,full time
construction inspector,engineering,62342.94,2016,planning development & transportation,29.97,full time
police officer,patrol,62222.02,2016,police services,29.91,full time
building inspector,comm dev & neighborhood svcs,62173.79,2016,planning development & transportation,29.89,full time
health and safety specialist,"safety, security, & risk mgmt.",62131.95,2016,financial services,29.87,full time
special projects manager,ut water utl engineering div,62085.28,2016,planning development & transportation,29.85,full time
pc hardwr/softwre specialist,information technology,62056.06,2016,information and employee services,29.83,full time
asst superintendent-golf,parks,62050.31,2016,community and operation services,29.83,full time
systems specialist,information technology,61945.83,2016,information and employee services,29.78,full time
mechanic,operation services,61856.53,2016,community and operation services,29.74,full time
mechanic,operation services,61844.98,2016,community and operation services,29.73,full time
park ranger,parks,61739.8,2016,community and operation services,29.68,full time
admin support supv - inactive,human resources,61653.57,2016,information and employee services,29.64,full time
police officer,patrol,61605.18,2016,police services,29.62,full time
lead pc hardwr/softwre spec,information technology,61534.2,2016,information and employee services,29.58,full time
financial coordinator,cultural services,61495,2016,community and operation services,29.56,full time
environmental planner,environmental services,61384.61,2016,sustainability services,29.51,full time
plant operator,ut water production div,61325.47,2016,utility services,29.48,full time
asst superintendent-golf,parks,61299.75,2016,community and operation services,29.47,full time
police investigative aide,investigations,61298.79,2016,police services,29.47,full time
police officer,patrol,61194.23,2016,police services,29.42,full time
streets equipment operator ii,streets,61150.73,2016,planning development & transportation,29.4,full time
zoning inspector,comm dev & neighborhood svcs,61128.29,2016,planning development & transportation,29.39,full time
mechanic,operation services,61074.16,2016,community and operation services,29.36,full time
deputy city clerk,city clerk's office,61005.71,2016,deputy city manager,29.33,full time
pc hardwr/softwre specialist,information technology,60993.7,2016,information and employee services,29.32,full time
wellness program coordinator,human resources,60964.38,2016,information and employee services,29.31,full time
aquatics maintenance lead,operation services,60956.61,2016,community and operation services,29.31,full time
technical production director,cultural services,60953.83,2016,community and operation services,29.3,full time
plans analyst,comm dev & neighborhood svcs,60809.94,2016,planning development & transportation,29.24,full time
accountant ii,accounting and treasury,60744.53,2016,financial services,29.2,full time
customer service supervisor,parking,60700.25,2016,planning development & transportation,29.18,full time
park ranger,parks,60692.98,2016,community and operation services,29.18,full time
parks & recreation pr supv,recreation,60667.48,2016,community and operation services,29.17,full time
building inspector,comm dev & neighborhood svcs,60623.74,2016,planning development & transportation,29.15,full time
streets equipment operator ii,streets,60603.6,2016,planning development & transportation,29.14,full time
police investigative aide,investigations,60583.23,2016,police services,29.13,full time
instrument/electric tech,ut water production div,60559.44,2016,utility services,29.12,full time
crew chief,parks,60434.23,2016,community and operation services,29.05,full time
traffic control supervisor,streets,60370.73,2016,planning development & transportation,29.02,full time
electric lineworker,electric field services,60214.62,2016,utility services,28.95,full time
forestry crew chief,parks,60196.39,2016,community and operation services,28.94,full time
hvac lead,operation services,60192.62,2016,community and operation services,28.94,full time
maint tech-landscape,electric field services,60162.62,2016,utility services,28.92,full time
revenue/licensing agent,sales tax,60146.6,2016,financial services,28.92,full time
financial coordinator,engineering,60097.33,2016,planning development & transportation,28.89,full time
mechanic,operation services,60073.54,2016,community and operation services,28.88,full time
mechanic,operation services,59985.57,2016,community and operation services,28.84,full time
recreation coordinator,recreation,59808.1,2016,community and operation services,28.75,full time
water resources engineer,ut water resources div,59749.7,2016,utility services,28.73,full time
fraud investigations specialis,investigations,59668.25,2016,police services,28.69,full time
sr sales tax auditor,sales tax,59662.3,2016,financial services,28.68,full time
mechanic,operation services,59435.26,2016,community and operation services,28.57,full time
mechanic,operation services,59392,2016,community and operation services,28.55,full time
streets equipment operator ii,streets,59378.85,2016,planning development & transportation,28.55,full time
recreation coordinator,recreation,59290.31,2016,community and operation services,28.5,full time
streets equipment operator i,streets,59076.89,2016,planning development & transportation,28.4,full time
facilities project manager,operation services,59049.12,2016,community and operation services,28.39,full time
personnel specialist,human resources,59033.5,2016,information and employee services,28.38,full time
parking enforcement supervisor,parking,58999.75,2016,planning development & transportation,28.37,full time
mechanic,operation services,58813.98,2016,community and operation services,28.28,full time
systems administration mgr,information technology,58808.99,2016,information and employee services,28.27,full time
recreation supv - inactive,recreation,58725.74,2016,community and operation services,28.23,full time
community service officer,patrol,58664.16,2016,police services,28.2,full time
streets equipment operator i,streets,58577.85,2016,planning development & transportation,28.16,full time
water conservation specialist,utilities customer connections,58574.94,2016,utility services,28.16,full time
police investigative aide,investigations,58544.76,2016,police services,28.15,full time
traffic control supervisor,streets,58511.71,2016,planning development & transportation,28.13,full time
lead pc hardwr/softwre spec,information technology,58458.48,2016,information and employee services,28.11,full time
forestry technician,parks,58457.37,2016,community and operation services,28.1,full time
building inspector,comm dev & neighborhood svcs,58416.61,2016,planning development & transportation,28.08,full time
community service officer,patrol,58404.75,2016,police services,28.08,full time
community engagement specialst,utilities customer connections,58355.97,2016,utility services,28.06,full time
admin support supv - inactive,parks,58320.18,2016,community and operation services,28.04,full time
sr network engineer,information technology,58300.44,2016,information and employee services,28.03,full time
sr budget analyst,budget,58239,2016,financial services,28,full time
bikes program specialist,fc moves,58204.92,2016,planning development & transportation,27.98,full time
public relations coordinator,cultural services,58111.31,2016,community and operation services,27.94,full time
pc hardwr/softwre specialist,information technology,58089.12,2016,information and employee services,27.93,full time
parks/grounds tech,parks,58040.9,2016,community and operation services,27.9,full time
mechanic,operation services,57864.16,2016,community and operation services,27.82,full time
admin support supv - inactive,operation services,57844.43,2016,community and operation services,27.81,full time
engineering technician,engineering,57792.86,2016,planning development & transportation,27.79,full time
municipal court prosecutor,city attorney's office,57782.08,2016,city attorney,27.78,full time
utility facility locator,electric field services,57678.37,2016,utility services,27.73,full time
mechanic,operation services,57659.93,2016,community and operation services,27.72,full time
police investigative aide,investigations,57481.3,2016,police services,27.64,full time
figure and freestyle coach,recreation,57393.92,2016,community and operation services,27.59,full time
water meter systems operator,ut water meters div,57325.26,2016,utility services,27.56,full time
performing arts ctr mgr-inactv,cultural services,57242.4,2016,community and operation services,27.52,full time
municipal court admnstr-inactv,municipal court,56886.27,2016,judicial services,27.35,full time
information services manager,information technology,56870.34,2016,information and employee services,27.34,full time
watershed specialist,ut water production div,56849.76,2016,utility services,27.33,full time
police officer,patrol,56785.45,2016,police services,27.3,full time
water meter technician,ut water meters div,56758.02,2016,utility services,27.29,full time
parks/grounds tech,parks,56740.1,2016,community and operation services,27.28,full time
customer accounts manager,utilities customer connections,56715,2016,utility services,27.27,full time
customer service rep ii,parking,56638.85,2016,planning development & transportation,27.23,full time
sales manager,cultural services,56627.37,2016,community and operation services,27.22,full time
lead customer service rep,utilities customer connections,56519.96,2016,utility services,27.17,full time
publicity marketing specialist,utilities customer connections,56252.12,2016,utility services,27.04,full time
parks/grounds tech,parks,56220.08,2016,community and operation services,27.03,full time
publicity/marketing tech,city clerk's office,56074.76,2016,deputy city manager,26.96,full time
volunteer program manager,human resources,56044.07,2016,information and employee services,26.94,full time
bldg & dev review tech supv,comm dev & neighborhood svcs,55978.12,2016,planning development & transportation,26.91,full time
assistant museum director,cultural services,55961.16,2016,community and operation services,26.9,full time
parks/grounds tech,parks,55926.69,2016,community and operation services,26.89,full time
construction inspector,engineering,55914.37,2016,planning development & transportation,26.88,full time
financial coordinator,city manager's office,55881.58,2016,city manager,26.87,full time
zoning inspector,comm dev & neighborhood svcs,55829.52,2016,planning development & transportation,26.84,full time
police sergeant,patrol,55788.05,2016,police services,26.82,full time
streets equipment operator i,streets,55748.48,2016,planning development & transportation,26.8,full time
administrative assistant,comm dev & neighborhood svcs,55712.87,2016,planning development & transportation,26.79,full time
sr code complnce insp/occupncy,comm dev & neighborhood svcs,55653.89,2016,planning development & transportation,26.76,full time
utility fee/rate specialist,utility financial operations,55592.3,2016,utility services,26.73,full time
facilities planner/designer,operation services,55477.98,2016,community and operation services,26.67,full time
forestry technician,parks,55369.17,2016,community and operation services,26.62,full time
facility maintenance tech,recreation,55201.79,2016,community and operation services,26.54,full time
custodial contract admn,operation services,55151.56,2016,community and operation services,26.52,full time
civil engineer iii-inactive,park planning & development,55147.64,2016,community and operation services,26.51,full time
traffic control supervisor,streets,55027.89,2016,planning development & transportation,26.46,full time
parks/grounds tech,parks,55019.99,2016,community and operation services,26.45,full time
executive administrative asst,city manager's office,55018.7,2016,city manager,26.45,full time
community service officer,patrol,54983.63,2016,police services,26.43,full time
financial analyst,utility financial operations,54935.25,2016,utility services,26.41,full time
curator,cultural services,54902.02,2016,community and operation services,26.4,full time
parks/grounds tech,parks,54898.08,2016,community and operation services,26.39,full time
maintenance tech - electrician,operation services,54878.8,2016,community and operation services,26.38,full time
recreation coordinator,recreation,54726.07,2016,community and operation services,26.31,full time
admin support supv - inactive,streets,54616.86,2016,planning development & transportation,26.26,full time
credit/collections rep,utilities customer connections,54606.76,2016,utility services,26.25,full time
bikes program specialist,fc moves,54514.9,2016,planning development & transportation,26.21,full time
gis mapping specialist,information technology,54462.73,2016,information and employee services,26.18,full time
apprentice landscape architect,park planning & development,54400.66,2016,community and operation services,26.15,full time
neighbrhd dev rev outrch spc,comm dev & neighborhood svcs,54397.76,2016,planning development & transportation,26.15,full time
traffic control supervisor,streets,54382.6,2016,planning development & transportation,26.15,full time
cust care & technology mgr,utilities customer connections,54361.9,2016,utility services,26.14,full time
parks/grounds tech,parks,54317.83,2016,community and operation services,26.11,full time
recreation coordinator,recreation,54292.2,2016,community and operation services,26.1,full time
administrative assistant,ut water production div,54250.02,2016,utility services,26.08,full time
parks/grounds tech,parks,54215.12,2016,community and operation services,26.06,full time
maintenance tech - hvac,operation services,54150.78,2016,community and operation services,26.03,full time
fundraising & marketing coord,cultural services,54127.3,2016,community and operation services,26.02,full time
maintenance tech - building,operation services,53980.2,2016,community and operation services,25.95,full time
energy services program coord,utilities customer connections,53791.32,2016,utility services,25.86,full time
benefits specialist,human resources,53629.42,2016,information and employee services,25.78,full time
executive administrative asst,city manager's office,53581.1,2016,city manager,25.76,full time
curator,cultural services,53511.82,2016,community and operation services,25.73,full time
maintenance tech - hvac,operation services,53505.68,2016,community and operation services,25.72,full time
maintenance tech - building,operation services,53447.8,2016,community and operation services,25.7,full time
parking facilities supervisor,parking,53404.63,2016,planning development & transportation,25.68,full time
parks/grounds tech,parks,53325.66,2016,community and operation services,25.64,full time
gis mapping specialist,ut electric systems eng div,53257.66,2016,utility services,25.6,full time
recreation coordinator,recreation,53225.62,2016,community and operation services,25.59,full time
economic health analyst,economic health office,53163.95,2016,sustainability services,25.56,full time
pc hardware/software spec,information technology,53040.78,2016,information and employee services,25.5,full time
parks/grounds tech,parks,53008.27,2016,community and operation services,25.48,full time
sr legal assistant,city attorney's office,52964.2,2016,city attorney,25.46,full time
parks/grounds tech,parks,52848.4,2016,community and operation services,25.41,full time
strategic accounts specialist,utilities customer connections,52743.34,2016,utility services,25.36,full time
administrative assistant,office of the chief,52738.95,2016,police services,25.36,full time
parks/grounds tech,parks,52717.45,2016,community and operation services,25.34,full time
administrative assistant,patrol,52574.63,2016,police services,25.28,full time
water conservation coordinator,utilities customer connections,52524.35,2016,utility services,25.25,full time
benefits specialist,human resources,52504.84,2016,information and employee services,25.24,full time
education specialist,utilities customer connections,52436.04,2016,utility services,25.21,full time
water meter systems operator,ut water meters div,52434.38,2016,utility services,25.21,full time
recreation coordinator,recreation,52393.15,2016,community and operation services,25.19,full time
pc support specialist,information technology,52380.01,2016,information and employee services,25.18,full time
recreation coordinator,recreation,52378.5,2016,community and operation services,25.18,full time
city planner,comm dev & neighborhood svcs,52289.59,2016,planning development & transportation,25.14,full time
cultural svcs and fac director,cultural services,52161,2016,community and operation services,25.08,full time
police officer,patrol,52055.03,2016,police services,25.03,full time
payroll specialist ii,accounting and treasury,51990.65,2016,financial services,25,full time
associate planner,comm dev & neighborhood svcs,51989.32,2016,planning development & transportation,24.99,full time
financial technician,streets,51914.91,2016,planning development & transportation,24.96,full time
construction inspector,engineering,51799.56,2016,planning development & transportation,24.9,full time
aquatics maintenance tech,operation services,51771.55,2016,community and operation services,24.89,full time
publicity marketing specialist,recreation,51592.31,2016,community and operation services,24.8,full time
financial analyst ii,comm dev & neighborhood svcs,51505.92,2016,planning development & transportation,24.76,full time
line groundworker,electric field services,51445.57,2016,utility services,24.73,full time
utility services coordinator,utilities customer connections,51412.65,2016,utility services,24.72,full time
paralegal,city attorney's office,51374.85,2016,city attorney,24.7,full time
streets equipment operator i,streets,51239.84,2016,planning development & transportation,24.63,full time
systems specialist,information technology,51239.51,2016,information and employee services,24.63,full time
scheduling supv-inactive,cultural services,51149.02,2016,community and operation services,24.59,full time
paralegal,city attorney's office,51110.4,2016,city attorney,24.57,full time
parks/grounds tech,parks,51012.64,2016,community and operation services,24.53,full time
administrative assistant,ut water systems engr div,50961.1,2016,utility services,24.5,full time
forestry technician,parks,50790.64,2016,community and operation services,24.42,full time
horticulture technician,cultural services,50733.47,2016,community and operation services,24.39,full time
electric systems operator,electric field services,50600.74,2016,utility services,24.33,full time
executive administrative asst,office of the chief,50538,2016,police services,24.3,full time
aquatics maintenance tech,operation services,50167.88,2016,community and operation services,24.12,full time
administrative assistant,fc moves,50167.6,2016,planning development & transportation,24.12,full time
strategic accounts specialist,utilities customer connections,50134.16,2016,utility services,24.1,full time
parks/grounds tech,parks,50103.14,2016,community and operation services,24.09,full time
land survey tech-inactive,engineering,50082.97,2016,planning development & transportation,24.08,full time
civil engineer iii-inactive,ut water utl engineering div,50040.84,2016,planning development & transportation,24.06,full time
administrative assistant,patrol,50004.65,2016,police services,24.04,full time
compliance coordinator,city manager's office,49888.43,2016,city manager,23.98,full time
comm outreach garden coord,cultural services,49801.77,2016,community and operation services,23.94,full time
maintenance tech - building,operation services,49738.94,2016,community and operation services,23.91,full time
parks/grounds tech,parks,49667.34,2016,community and operation services,23.88,full time
customer service rep ii,parking,49639.84,2016,planning development & transportation,23.87,full time
benefits specialist,human resources,49559.98,2016,information and employee services,23.83,full time
streets equipment operator i,streets,49555.82,2016,planning development & transportation,23.82,full time
parks/grounds tech,parks,49532.17,2016,community and operation services,23.81,full time
energy services program coord,utilities customer connections,49397.75,2016,utility services,23.75,full time
lead customer service rep,utilities customer connections,49365.19,2016,utility services,23.73,full time
customer and admin svcs mgr,comm dev & neighborhood svcs,49333.2,2016,planning development & transportation,23.72,full time
recreation coordinator,recreation,49323.09,2016,community and operation services,23.71,full time
financial technician,office of the chief,49253.98,2016,police services,23.68,full time
construction inspector,streets,49195,2016,planning development & transportation,23.65,full time
credit/collections rep,utilities customer connections,49140.26,2016,utility services,23.63,full time
legal assistant,city attorney's office,49122.68,2016,city attorney,23.62,full time
administrative assistant,comm dev & neighborhood svcs,49084.98,2016,planning development & transportation,23.6,full time
recreation coordinator,recreation,49055,2016,community and operation services,23.58,full time
recreation coordinator,recreation,49038.96,2016,community and operation services,23.58,full time
web page developer,information technology,49031.39,2016,information and employee services,23.57,full time
line groundworker,electric field services,49012.23,2016,utility services,23.56,full time
accounts payable rep,utility financial operations,48996.8,2016,utility services,23.56,full time
streets equipment operator i,streets,48860.69,2016,planning development & transportation,23.49,full time
admin support supv - inactive,recreation,48705.46,2016,community and operation services,23.42,full time
administrative assistant,information technology,48426.98,2016,information and employee services,23.28,full time
planning technician,comm dev & neighborhood svcs,48417.66,2016,planning development & transportation,23.28,full time
administrative assistant,comm dev & neighborhood svcs,48377.89,2016,planning development & transportation,23.26,full time
admin tech support specialist,operation services,48377.84,2016,community and operation services,23.26,full time
executive administrative asst,sustainability services admin,48342.5,2016,sustainability services,23.24,full time
maintenance tech - building,operation services,48309.74,2016,community and operation services,23.23,full time
health and safety specialist,"safety, security, & risk mgmt.",48276.88,2016,financial services,23.21,full time
publicity/marketing tech,utilities customer connections,48273.49,2016,utility services,23.21,full time
administrative assistant,engineering,48223.92,2016,planning development & transportation,23.18,full time
land survey tech-inactive,engineering,48163.94,2016,planning development & transportation,23.16,full time
energy services program coord,utilities customer connections,48147.74,2016,utility services,23.15,full time
meter reader,ut standards engineering div,48117.27,2016,planning development & transportation,23.13,full time
sales tax tech-inactive,sales tax,48067.08,2016,financial services,23.11,full time
program coordinator,utilities customer connections,47940.07,2016,utility services,23.05,full time
utility facility locator,electric field services,47806.24,2016,utility services,22.98,full time
program coordinator,utilities customer connections,47635.58,2016,utility services,22.9,full time
key accounts rep,utilities customer connections,47595.17,2016,utility services,22.88,full time
council agenda coordinator,city clerk's office,47571.12,2016,deputy city manager,22.87,full time
streets equipment operator i,streets,47570.04,2016,planning development & transportation,22.87,full time
utility worker- strts/traffic,streets,47552.33,2016,planning development & transportation,22.86,full time
systems administrator,information technology,47544.69,2016,information and employee services,22.86,full time
sr environmental planner,environmental services,47303.3,2016,sustainability services,22.74,full time
bldg & dev review tech,comm dev & neighborhood svcs,47256.68,2016,planning development & transportation,22.72,full time
parks/grounds tech,parks,47210.11,2016,community and operation services,22.7,full time
assistant technical coord,cultural services,47203,2016,community and operation services,22.69,full time
energy services specialist,utilities customer connections,47138,2016,utility services,22.66,full time
streets equipment operator i,streets,47133.6,2016,planning development & transportation,22.66,full time
pc support specialist,information technology,47115.67,2016,information and employee services,22.65,full time
parks/grounds tech,parks,47085.36,2016,community and operation services,22.64,full time
administrative assistant,office of the chief,47079.18,2016,police services,22.63,full time
lead customer service rep,utilities customer connections,47034.12,2016,utility services,22.61,full time
accounts payable rep,accounting and treasury,46965.81,2016,financial services,22.58,full time
payroll specialist,accounting and treasury,46946.35,2016,financial services,22.57,full time
recreation services rep,recreation,46825.18,2016,community and operation services,22.51,full time
parks/grounds tech,parks,46738.37,2016,community and operation services,22.47,full time
recruitment spec - inactaive,human resources,46737.06,2016,information and employee services,22.47,full time
accounts payable rep,accounting and treasury,46623.57,2016,financial services,22.42,full time
pc support specialist,information technology,46509.87,2016,information and employee services,22.36,full time
events coordinator,recreation,46058.75,2016,community and operation services,22.14,full time
parks/grounds tech,parks,46049.3,2016,community and operation services,22.14,full time
accounts payable rep,accounting and treasury,46037.21,2016,financial services,22.13,full time
customer service rep ii,utilities customer connections,46025.58,2016,utility services,22.13,full time
administrative assistant,comm dev & neighborhood svcs,45968.64,2016,planning development & transportation,22.1,full time
line groundworker,electric field services,45826.39,2016,utility services,22.03,full time
farm technician,recreation,45820.59,2016,community and operation services,22.03,full time
manager of parks,parks,45677.03,2016,community and operation services,21.96,full time
service schedule coord,ut water meters div,45653.17,2016,utility services,21.95,full time
parks/grounds tech,parks,45476.24,2016,community and operation services,21.86,full time
accounting assistant,accounting and treasury,45335.08,2016,financial services,21.8,full time
deputy court clerk ii,municipal court,45299.11,2016,judicial services,21.78,full time
parks/grounds tech,parks,45272.54,2016,community and operation services,21.77,full time
sr warehouse worker,ut standards engineering div,45260.53,2016,planning development & transportation,21.76,full time
parking enforcement officer,parking,45258.31,2016,planning development & transportation,21.76,full time
utility cashier,utilities customer connections,45154.54,2016,utility services,21.71,full time
customer service rep ii,utilities customer connections,45104.59,2016,utility services,21.68,full time
city planner,comm dev & neighborhood svcs,45087,2016,planning development & transportation,21.68,full time
parks/grounds tech,parks,45079.55,2016,community and operation services,21.67,full time
business process anlayst,l&p operations service unit,45e3,2016,utility services,21.63,full time
administrative assistant,l&p operations service unit,44863.24,2016,utility services,21.57,full time
executive administrative asst,pdt administration,44840.37,2016,planning development & transportation,21.56,full time
licensing coordinator,city clerk's office,44802.09,2016,deputy city manager,21.54,full time
line groundworker,electric field services,44657.39,2016,utility services,21.47,full time
streets equipment operator i,streets,44653.49,2016,planning development & transportation,21.47,full time
crew chief,streets,44645.32,2016,planning development & transportation,21.46,full time
mechanic,operation services,44541.8,2016,community and operation services,21.41,full time
streets equipment operator ii,streets,44538.37,2016,planning development & transportation,21.41,full time
streets equipment operator i,streets,44341,2016,planning development & transportation,21.32,full time
sr city planner,comm dev & neighborhood svcs,44315.11,2016,planning development & transportation,21.31,full time
utility facility locator,electric field services,44303.94,2016,utility services,21.3,full time
warehouse worker,ut standards engineering div,44291.76,2016,planning development & transportation,21.29,full time
publicity marketing tech,utilities customer connections,44269,2016,utility services,21.28,full time
administrative aide,human resources,44216.56,2016,information and employee services,21.26,full time
document imaging clerk,information technology,44154.93,2016,information and employee services,21.23,full time
chief human resources officer,human resources,44134.64,2016,information and employee services,21.22,full time
gallery coordinator,cultural services,44126.53,2016,community and operation services,21.21,full time
real estate specialist ii,operation services,44125.93,2016,community and operation services,21.21,full time
parking enforcement officer,parking,44079.54,2016,planning development & transportation,21.19,full time
parks/grounds tech,parks,43998.35,2016,community and operation services,21.15,full time
parks/grounds tech,parks,43872.28,2016,community and operation services,21.09,full time
utility facility locator,electric field services,43808.61,2016,utility services,21.06,full time
risk management technician,"safety, security, & risk mgmt.",43803.87,2016,financial services,21.06,full time
parks/grounds tech,parks,43525.53,2016,community and operation services,20.93,full time
policy and project manager,city manager's office,43369.04,2016,city manager,20.85,full time
parks/grounds tech,parks,43198.76,2016,community and operation services,20.77,full time
personnel technician,human resources,43013.89,2016,information and employee services,20.68,full time
customer service rep ii,utilities customer connections,42934.58,2016,utility services,20.64,full time
accounts payable rep,utility financial operations,42910.02,2016,utility services,20.63,full time
clerical aide,office of the chief,42880.2,2016,police services,20.62,full time
customer service rep ii,utilities customer connections,42824.28,2016,utility services,20.59,full time
utility cashier,utilities customer connections,42752.96,2016,utility services,20.55,full time
parks/grounds tech,parks,42591.01,2016,community and operation services,20.48,full time
streets equipment operator i,streets,42518.09,2016,planning development & transportation,20.44,full time
court security officer,municipal court,42511.81,2016,judicial services,20.44,full time
compliance inspector,comm dev & neighborhood svcs,42463.8,2016,planning development & transportation,20.42,full time
police officer,patrol,42438.23,2016,police services,20.4,full time
parks/grounds tech,parks,42397.38,2016,community and operation services,20.38,full time
customer service rep ii,comm dev & neighborhood svcs,42361.47,2016,planning development & transportation,20.37,full time
wellness program specialist,human resources,42358.97,2016,information and employee services,20.36,full time
restorative justice case mgr,comm dev & neighborhood svcs,42343.67,2016,planning development & transportation,20.36,full time
economic health analyst,economic health office,42322.6,2016,sustainability services,20.35,full time
maintenance planner/scheduler,operation services,42319.3,2016,community and operation services,20.35,full time
env. education specialist,utilities customer connections,42224.56,2016,utility services,20.3,full time
maintenance tech - building,operation services,42220.97,2016,community and operation services,20.3,full time
customer service rep ii,parking,42202.45,2016,planning development & transportation,20.29,full time
customer accounts analyst,utilities customer connections,42104.44,2016,utility services,20.24,full time
warehouse worker,ut standards engineering div,42009.9,2016,planning development & transportation,20.2,full time
sr financial analyst,sustainability services admin,41953.48,2016,sustainability services,20.17,full time
streets equipment operator i,streets,41749.06,2016,planning development & transportation,20.07,full time
customer service rep ii,ut standards engineering div,41688.88,2016,planning development & transportation,20.04,full time
customer service rep ii,utilities customer connections,41452.34,2016,utility services,19.93,full time
lead maintenance tech - bldg,operation services,41426.1,2016,community and operation services,19.92,full time
parking enforcement officer,parking,41242.18,2016,planning development & transportation,19.83,full time
administrative support ii,"safety, security, & risk mgmt.",41215.91,2016,financial services,19.82,full time
accounts payable rep,operation services,41104.68,2016,community and operation services,19.76,full time
forestry technician,parks,41044.2,2016,community and operation services,19.73,full time
facility maintenance tech,recreation,41003.58,2016,community and operation services,19.71,full time
pc hardwr/softwre specialist,information technology,40947.9,2016,information and employee services,19.69,full time
asst box office coordinator,cultural services,40803.7,2016,community and operation services,19.62,full time
systems specialist,information technology,40776.93,2016,information and employee services,19.6,full time
utility billing representative,utilities customer connections,40731.4,2016,utility services,19.58,full time
equipment maintenance worker,operation services,40427.09,2016,community and operation services,19.44,full time
police officer,patrol,40420.5,2016,police services,19.43,full time
parts assistant,operation services,40316.63,2016,community and operation services,19.38,full time
aquatics maintenance tech,operation services,40157.88,2016,community and operation services,19.31,full time
water meter systems operator,ut water meters div,40142.49,2016,utility services,19.3,full time
compliance inspector,comm dev & neighborhood svcs,40112.96,2016,planning development & transportation,19.29,full time
watershed technician-inactive,ut water production div,39996.21,2016,utility services,19.23,full time
dot compliance specialist,"safety, security, & risk mgmt.",39969.36,2016,financial services,19.22,full time
environmental planner,environmental services,39897.28,2016,sustainability services,19.18,full time
truck driver-streets,streets,39873.66,2016,planning development & transportation,19.17,full time
parts assistant,operation services,39853,2016,community and operation services,19.16,full time
