jobTitle,department,earnings,year,serviceArea,hourlyWage,status
lifeguard/water safety instr.,recreation,1537.6,2016,community and operation services,NA,part time
youth sports track&field coach,recreation,1537.5,2016,community and operation services,NA,part time
adult sports field/gym supv,recreation,1537.25,2016,community and operation services,NA,part time
lifeguard,recreation,1536.28,2016,community and operation services,NA,part time
fitness instructor,parking,1535.67,2016,planning development & transportation,NA,part time
skate instructor/group,recreation,1530,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,1514.8,2016,community and operation services,NA,part time
lifeguard,recreation,1514.77,2016,community and operation services,NA,part time
line groundworker/hrly-inactve,electric field services,1504,2016,utility services,NA,part time
parts assistant-inactive,operation services,1503.32,2016,community and operation services,NA,part time
fitness instructor,recreation,1496,2016,community and operation services,NA,part time
youth instructor,recreation,1492,2016,community and operation services,NA,part time
lifeguard/water safety instr.,recreation,1491.9,2016,community and operation services,NA,part time
intern,comm dev & neighborhood svcs,1480,2016,planning development & transportation,NA,part time
adult sports field/gym supv,recreation,1479.5,2016,community and operation services,NA,part time
facility custodian,cultural services,1476,2016,community and operation services,NA,part time
skate instructor/group,recreation,1476,2016,community and operation services,NA,part time
lifeguard,recreation,1472.9,2016,community and operation services,NA,part time
facility attendant,recreation,1471.36,2016,community and operation services,NA,part time
lifeguard,recreation,1468.21,2016,community and operation services,NA,part time
facility attendant,recreation,1457.82,2016,community and operation services,NA,part time
utility worker/ parks,parks,1455,2016,community and operation services,NA,part time
secretary,"safety, security, & risk mgmt.",1450,2016,financial services,NA,part time
skate instructor/group,recreation,1449.1,2016,community and operation services,NA,part time
lcc technical aide i,cultural services,1442.17,2016,community and operation services,NA,part time
administrative assistant,human resources,1440,2016,information and employee services,NA,part time
adult sports scorekeeper,recreation,1437.63,2016,community and operation services,NA,part time
intern,fc moves,1416,2016,planning development & transportation,NA,part time
equipment operator/ cemetery,parks,1415,2016,community and operation services,NA,part time
general interest instructor,recreation,1411.5,2016,community and operation services,NA,part time
fitness instructor,recreation,1411,2016,community and operation services,NA,part time
alternative program leader,recreation,1410.67,2016,community and operation services,NA,part time
adult sports scorekeeper,recreation,1404.4,2016,community and operation services,NA,part time
parking attendant,parking,1388.85,2016,planning development & transportation,NA,part time
skate instructor/group,recreation,1387.92,2016,community and operation services,NA,part time
youth instructor,recreation,1384.85,2016,community and operation services,NA,part time
adult sports scorekeeper,recreation,1383.63,2016,community and operation services,NA,part time
clerical aide,human resources,1377,2016,information and employee services,NA,part time
consultant,utilities customer connections,1375.75,2016,utility services,NA,part time
lifeguard,recreation,1372.85,2016,community and operation services,NA,part time
youth instructor,recreation,1370,2016,community and operation services,NA,part time
equipment operator/ golf,parks,1368,2016,community and operation services,NA,part time
adult sports field/gym supv,recreation,1362.5,2016,community and operation services,NA,part time
exhibit worker,cultural services,1361.8,2016,community and operation services,NA,part time
camera radar operator,patrol,1349.8,2016,police services,NA,part time
adult sports scorekeeper,recreation,1349.39,2016,community and operation services,NA,part time
facility attendant,cultural services,1349.1,2016,community and operation services,NA,part time
outdoor recreation instructor,recreation,1345,2016,community and operation services,NA,part time
exhibit worker,cultural services,1341,2016,community and operation services,NA,part time
youth instructor,fc moves,1320,2016,planning development & transportation,NA,part time
aquatics manager,recreation,1315.27,2016,community and operation services,NA,part time
lcc technical aide i,cultural services,1311.6,2016,community and operation services,NA,part time
adult sports scorekeeper,recreation,1304.67,2016,community and operation services,NA,part time
equipment operator/ cemetery,parks,1300,2016,community and operation services,NA,part time
prsnl trainer/weight rm,recreation,1290,2016,community and operation services,NA,part time
lifeguard/water safety instr.,recreation,1284.9,2016,community and operation services,NA,part time
clerical aide,recreation,1275.3,2016,community and operation services,NA,part time
events concierge,cultural services,1264.9,2016,community and operation services,NA,part time
clerical aide,recreation,1263.96,2016,community and operation services,NA,part time
